GROUP,1_RA_FMT,2_RA_FMT,3_RA_FMT,4_RA_FMT,5_RA_FMT,1_IH_FMT,2_IH_FMT,3_IH_FMT,4_IH_FMT,5_IH_FMT,1_RA_FMT_PRO,2_RA_FMT_PRO,3_RA_FMT_PRO,4_RA_FMT_PRO,5_RA_FMT_PRO,1_IH_FMT_PRO,2_IH_FMT_PRO,3_IH_FMT_PRO,4_IH_FMT_PRO,5_IH_FMT_PRO
1930d2ae4018583d606e705beea31bd1,378,262,195,528,264,37,56,25,28,13,80,80,122,80,59,84,116,53,75,33
f5bf7ef226b458f24103a3531394ec7d,17,25,14,31,9,302,383,177,58,44,114,52,113,185,22,201,224,86,52,147
2ae97aa780e74cb712a0ae2b285ff415,209,189,284,587,244,141,56,110,120,157,2,0,7,5,0,102,135,55,58,39
b9601452981d5393bd6c0ed100a35ff0,98,118,102,92,131,86,96,76,152,81,181,106,81,140,108,113,73,132,77,90
f7a5bb26f18474e6c701f3da11ad9e22,49,61,88,50,84,70,93,204,72,122,163,89,105,98,145,94,10,240,201,141
446b888f8119b56e60b68ad01e3dd288,118,135,75,0,135,71,88,138,141,198,115,83,29,52,112,109,117,105,107,117
bbee9f3d2ff7eae779b70c7ac2c971e4,39,35,39,15,48,176,196,168,211,173,89,70,48,81,60,111,118,154,141,70
cb8b8a6ee6bcfa115f8b24a45fa1c12a,129,91,49,76,90,75,117,23,50,46,98,106,106,131,36,165,144,213,192,118
5be31cfb3ad61e104009ab6fb46f6d7b,147,108,73,309,78,93,84,28,104,81,117,95,88,99,64,98,77,166,84,95
5292f29cab69c370997bcb039ef68d64,108,85,67,139,108,49,93,18,7,9,98,73,210,132,73,172,264,42,54,139
b44aff2995f396f00ad579d8e6684335,116,87,81,285,89,113,67,0,78,81,98,65,91,81,63,118,122,157,84,82
ee766857ab5fc018ac26632146bc90e1,89,71,28,38,71,140,85,138,87,55,90,66,122,127,64,79,69,85,68,85
2cf0267a31dc6f1b8ee65c913b8f6e4d,13,13,0,0,10,114,38,27,0,8,213,14,42,272,0,394,455,17,24,39
898eb92ef2d1ef893f7d0c383527b44d,102,42,150,43,55,38,59,257,194,165,16,11,41,23,129,76,111,54,85,61
11bd305099dce16ecd99f2cb50aa2e40,58,83,55,44,87,77,58,37,41,45,88,84,123,106,50,100,141,115,88,139
84977ba94188c5d008f9861e3e14d0a5,147,48,13,14,669,229,0,16,62,99,91,5,40,24,17,8,0,15,37,12
7b28c20e72c6c95b3e604f0849245770,0,0,0,0,0,125,254,2,0,0,114,876,15,57,0,0,0,0,0,0
ed78bbc1db0ff176088ec1eeb30cde95,96,71,41,87,49,85,112,77,77,71,47,54,62,66,51,146,139,132,79,90
944db06913bc7a121ce7ba9c3c3d7ed4,261,210,151,233,77,0,0,0,0,0,150,161,135,152,148,0,0,0,0,0
11a5f0316ff4f3edb52c1b583a6e1448,90,143,115,0,100,58,57,163,190,147,84,27,20,44,74,46,0,94,74,24
19bb6fdfb210eda549aee95a652e0fdf,64,65,35,153,24,109,195,40,69,63,80,93,115,123,106,63,97,39,34,28
82b6b13c800633859b139cf0569b4cda,93,70,118,316,33,34,61,27,68,39,25,37,52,39,99,118,168,94,86,52
f5e65944985d39991cba3fab949a0150,221,69,58,0,111,87,24,121,80,18,0,0,112,111,10,55,158,114,18,117
d2d480b667c0d25176b7ad8e933c0ae7,11,20,15,0,44,6,0,11,122,126,28,7,15,25,55,95,56,126,199,261
d2be1254f5e7eb97bd42ec342d9cb11d,0,0,15,0,63,9,9,12,17,4,0,0,60,33,0,396,537,16,26,14
621c47eba23ae9c542cbea58e92ff9b2,130,84,218,29,56,47,74,138,47,7,43,14,43,45,44,68,75,23,26,70
9cf3ece63fb5e5d8a14a81d6ec6f2b7b,37,45,12,89,98,52,17,80,112,86,11,31,13,7,53,94,107,80,22,120
48d8be76001a9d251dc030b142483539,31,14,0,0,0,28,32,68,92,36,266,18,0,188,11,82,105,92,72,67
298be8e22c08e1484f733daff3b992ee,41,24,58,0,198,10,0,0,13,17,284,37,8,197,196,25,17,23,0,0
06538b77450f85903962437f449fa60a,45,33,19,72,65,99,53,64,77,96,14,29,14,26,33,83,83,83,98,74
