# Constructed from biom file
#OTU ID	AK005	AK006	AK007	AK008	AK009	AK010	AK011	AK012	AK013	AK014	AK015	AK016	AK017	AK018	AK019	AK020	AK021	AK022	AK023	AK024	MB001	MB002	MB003	MB004	MB005	MB006	MB007	MB008	MB009	MB010	MB011	MB012	MB013	MB014	MB015	MB016	Taxon
04e96f8e3e9a8aaea0cf71feba8b0e16	0.0	0.0	0.0	0.0	0.0	19.0	21.0	20.0	0.0	0.0	45.0	135.0	53.0	26.0	84.0	15.0	24.0	0.0	26.0	23.0	732.0	424.0	218.0	1560.0	244.0	0.0	0.0	152.0	191.0	1688.0	1104.0	9547.0	4363.0	4425.0	5448.0	7803.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalibaculum; s__uncultured_bacterium
daae43be6cf06991f62a085ba8bff3b6	57.0	68.0	52.0	108.0	20.0	112.0	64.0	25.0	19.0	67.0	31.0	20.0	46.0	50.0	38.0	41.0	31.0	18.0	34.0	25.0	391.0	108.0	241.0	1286.0	0.0	0.0	14846.0	66.0	52.0	286.0	87.0	3197.0	3499.0	3547.0	3617.0	2642.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium
3471f88cb44a7a8c95f6c7fe00ec8261	888.0	1009.0	558.0	974.0	667.0	1418.0	1393.0	683.0	1325.0	1153.0	1199.0	2172.0	2270.0	1927.0	1438.0	1518.0	1184.0	1705.0	1628.0	1345.0	330.0	1072.0	26.0	572.0	248.0	346.0	0.0	2901.0	194.0	145.0	278.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales
2ef1e51ab1cf99a3c6417b05a060830e	231.0	370.0	493.0	616.0	37.0	1492.0	706.0	1731.0	166.0	162.0	1808.0	1282.0	883.0	936.0	875.0	646.0	850.0	342.0	488.0	218.0	1393.0	2164.0	584.0	1039.0	0.0	20.0	0.0	371.0	1468.0	892.0	1102.0	2436.0	1069.0	1087.0	1317.0	1832.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
b44aff2995f396f00ad579d8e6684335	185.0	197.0	171.0	285.0	192.0	235.0	141.0	0.0	150.0	190.0	147.0	164.0	205.0	166.0	131.0	230.0	217.0	251.0	200.0	185.0	1834.0	1485.0	361.0	3929.0	480.0	683.0	0.0	1581.0	1471.0	870.0	2594.0	2611.0	1463.0	3016.0	1749.0	2471.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium
c1def48b42e159b33dd366fb124ea638	983.0	1286.0	888.0	686.0	1405.0	1124.0	1311.0	623.0	825.0	796.0	1329.0	1313.0	1609.0	2401.0	1488.0	1207.0	1654.0	830.0	793.0	1237.0	65.0	559.0	81.0	208.0	1402.0	2027.0	0.0	382.0	147.0	224.0	488.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium
1dacfff5549a7d2494f6a935ea1fb7e8	485.0	114.0	1507.0	37.0	894.0	405.0	160.0	111.0	139.0	217.0	1521.0	956.0	2616.0	2020.0	1250.0	1587.0	1414.0	288.0	533.0	119.0	302.0	122.0	11.0	1017.0	766.0	1017.0	0.0	1462.0	1733.0	180.0	900.0	775.0	637.0	875.0	811.0	1425.0	d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__uncultured_bacterium
68c0de23aadf50c215f58758255382b8	449.0	463.0	511.0	468.0	518.0	211.0	98.0	178.0	75.0	198.0	0.0	136.0	47.0	0.0	0.0	1941.0	1079.0	2286.0	3194.0	1977.0	2569.0	0.0	7601.0	0.0	204.0	517.0	0.0	0.0	2137.0	0.0	1541.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dubosiella; s__uncultured_bacterium
d60593a75368eb2dd66ecbbec3313863	363.0	404.0	260.0	405.0	200.0	44.0	71.0	0.0	127.0	0.0	691.0	574.0	995.0	973.0	681.0	1855.0	631.0	1982.0	2609.0	1423.0	1642.0	1906.0	197.0	1868.0	1683.0	337.0	0.0	1624.0	612.0	880.0	2376.0	194.0	119.0	155.0	156.0	234.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales
e4597f1dce864c29882fa64f616d1a6c	946.0	1811.0	975.0	684.0	1227.0	559.0	1020.0	492.0	895.0	559.0	881.0	1145.0	1052.0	1019.0	834.0	720.0	751.0	1126.0	826.0	1321.0	357.0	701.0	47.0	614.0	849.0	968.0	0.0	797.0	555.0	624.0	637.0	663.0	342.0	599.0	401.0	491.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__uncultured_bacterium
